# generated 2026-08-17 17:24:01 +0800 by paper_tables.py (l1-paper-tables-1)
# dedup rule applied to the hosted raw logs before evaluation: last row per (mode, thinking, repeat, item_id); hosted logs only
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e1_eval_qwen14b/summary.json sha256 793c76b07b492ef0fd70878913b6c90449fa7d884edd530817eaf98c1c51c1c8
# /home/ziheng/PaperL1/results/e1_eval_qwen27b/summary.json sha256 78745e80ca0550e27d754b70e2e8f8bd7d33a6ba11b419852ec4c05a9c5a57d5
# /home/ziheng/PaperL1/results/e1_eval_glm9b/summary.json sha256 bb806173f35bcd5013b1a9b77223f0d2e16346375670a6dca65dbb8859099724
# /home/ziheng/PaperL1/results/e1_eval_gpt54mini/summary.json sha256 5da1e6beba8ac75283ee1e5f9352c2fff80eb08fe74f590e551b35b5364fa028
# /home/ziheng/PaperL1/results/e1_eval_deepseek/summary.json sha256 574ebad8772fe47ec758487469231be95f2e457399fa619ad553b571dc8ee8f9
# /home/ziheng/PaperL1/results/e1_eval_sonnet5/summary.json sha256 e50203a3a4474af675a4ed1e397c52ecd1f1b057502f21987d01ec6e8878e4f6
# /home/ziheng/PaperL1/results/e1_eval_opus5/summary.json sha256 d1ab21e2a71280e44d8eed9feda0f8031e4c3160d17fd995414d6a1398ae4f15
# /home/ziheng/PaperL1/results/e1_eval_sol/summary.json sha256 fa3ae6264fcdfbd3b311ad59a8ed88bc8540176adea8b4b043b2fecf5086379d
# /home/ziheng/PaperL1/results/e2_tau_sweep/curves.csv sha256 e9ca179c57029c6ae23d0512f12da901884072192c96addff321de94bf04fc76
# rows are the accepted record; every overlapping cell is asserted equal to it
system,arm,model,config,mode,thinking,scope,items,share_applied_with_certificate,share_applied_uncertified,share_referred_to_human,share_blocked_correctly,share_blocked_falsely,share_execution_failed,share_unhandled,share_model_refused,violation_pass_through,violation_pass_through_nonempty,violation_pass_through_strict,violation_pass_through_strict_nonempty,violation_pass_through_fault,certified_gap_coverage,certified_gap_median,certified_gap_p90,certified_gap_max,warranted_outcome_rate,wwt_original_mean_bh,wwt_original_median_bh,wwt_original_p90_bh,wwt_original_max_bh,wwt_original_vs_rule_bh,wwt_original_vs_rule_pct
qwen3.6-27b-fp8 / G_CERT,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_CERT,M_constrained,-,oracle_domain,3000,0.948000,,,0.008000,0.044000,,,,0.960000,0.306667,0.960000,0.306667,0.960000,1.000000,0.010113,0.062286,0.192543,0.956000,692.0170,567.9288,1566.9268,2859.5096,-0.0407,-0.000059
qwen3.6-27b-fp8 / G_CERT,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_CERT,M_constrained,-,benign,2400,0.945000,,,,0.055000,,,,,,,,,1.000000,0.008896,0.062286,0.192543,0.945000,681.2465,567.9288,1566.9268,2859.5096,-10.8111,-0.015622
qwen3.6-27b-fp8 / G_CERT,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_CERT,M_free,-,full_suite,6000,0.103500,,,0.496500,0.400000,,,,0.172500,0.009167,0.172500,0.009167,0.156667,1.000000,0.010894,0.061643,0.123812,0.600000,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
qwen3.6-27b-fp8 / G_CERT,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_CERT,M_free,-,oracle_domain,3000,0.125000,,,0.075000,0.800000,,,,0.625000,0.000000,0.625000,0.000000,0.625000,1.000000,0.012309,0.065639,0.123812,0.200000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
qwen3.6-27b-fp8 / G_CERT,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_CERT,M_free,-,benign,2400,,,,,1.000000,,,,,,,,,,,,,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
glm-4-9b / UNGUARDED,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",UNGUARDED,M_constrained,-,full_suite,2000,,0.855500,,,,0.144500,,,0.790833,0.767500,0.690833,0.667500,0.553333,1.000000,0.013579,0.261584,52.035200,0.000000,731.3574,619.2284,1581.0360,3634.6472,39.2997,0.056787
glm-4-9b / UNGUARDED,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",UNGUARDED,M_constrained,-,oracle_domain,1000,,0.930000,,,,0.070000,,,0.840000,0.720000,0.840000,0.720000,0.840000,1.000000,0.010113,0.069219,2.453742,0.000000,695.8472,567.9288,1566.9268,2994.4040,3.7896,0.005476
glm-4-9b / UNGUARDED,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",UNGUARDED,M_constrained,-,benign,800,,0.952500,,,,0.047500,,,,,,,,1.000000,0.010113,0.069219,0.369830,0.000000,682.9810,567.9288,1566.9268,2994.4040,-9.0767,-0.013116
glm-4-9b / UNGUARDED,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",UNGUARDED,M_free,-,full_suite,2000,,0.994500,,,,0.005500,,,0.994167,0.000000,0.994167,0.000000,0.648333,1.000000,0.010113,0.069219,0.286652,0.000000,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
glm-4-9b / UNGUARDED,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",UNGUARDED,M_free,-,oracle_domain,1000,,0.996000,,,,0.004000,,,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.010113,0.069219,0.286652,0.000000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
glm-4-9b / UNGUARDED,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",UNGUARDED,M_free,-,benign,800,,0.995000,,,,0.005000,,,,,,,,1.000000,0.010113,0.069219,0.286652,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
glm-4-9b / G_FEAS,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",G_FEAS,M_constrained,-,full_suite,2000,,0.817500,,0.161000,0.021500,,,,0.731667,0.708333,0.631667,0.608333,0.495833,1.000000,0.013579,0.280354,52.035200,0.161000,727.7792,619.2284,1569.2312,3634.6472,35.7215,0.051616
glm-4-9b / G_FEAS,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",G_FEAS,M_constrained,-,oracle_domain,1000,,0.925000,,0.032000,0.043000,,,,0.840000,0.720000,0.840000,0.720000,0.840000,1.000000,0.010113,0.069219,2.453742,0.032000,695.8472,567.9288,1566.9268,2994.4040,3.7896,0.005476
glm-4-9b / G_FEAS,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",G_FEAS,M_constrained,-,benign,800,,0.946250,,,0.053750,,,,,,,,,1.000000,0.010113,0.069219,0.369830,0.000000,682.9810,567.9288,1566.9268,2994.4040,-9.0767,-0.013116
